,long_name,short_name,short_loc,league,
Arsenal FC,Arsenal FC,Arsenal,ARS,mls,Premier League
Tottenham Hotspur,Tottenham Hotspur,Spurs,TOT,mls,Premier League
San Antonio Scorpions FC,San Antonio Scorpions FC,Scorpions,SAS,mls,Premier League
Aston Villa,Aston Villa,Villa,AVL,mls,Premier League
Manchester United,Manchester United,Man Utd,MUN,mls,Premier League
Manchester City,Manchester City,Man City,MCI,mls,Premier League
Liverpool,Liverpool,Liverpool,LIV,mls,Premier League
Chelsea,Chelsea,Chelsea,CHE,mls,Premier League
Crystal Palace,Crystal Palace,Crystal Palace,CRY,mls,Premier League
Burnley,Burnley,Burnley,BUR,mls,Premier League
Everton,Everton,Everton,EVE,mls,Premier League
Hull,Hull,Hull,HUL,mls,Premier League
Leicester,Leicester,Leicester,LEI,mls,Premier League
Newcastle,Newcastle,Newcastle,NEW,mls,Premier League
Queen's Park Rangers,Queen's Park Rangers,,QPR,mls,Premier League
Southampton,Southampton,Southamton,SOU,mls,Premier League
Stoke,Stoke,Stoke,STK,mls,Premier League
Sunderland,Sunderland,Sunderland,SUN,mls,Premier League
Swansea,Swansea,Swansea,SWA,mls,Premier League
West Brom,West Brom,West Brom,WBA,mls,Premier League
West Ham,West Ham,West Ham,WHU,mls,Premier League
Atlético de Madrid,Atlético de Madrid,,ATL,mls,La Liga
Barcelona,Barcelona,Barcelona,BAR,mls,La Liga
Real Madrid,Real Madrid,Real Madrid,RMD,mls,La Liga
Athletic Club,Athletic Club,Athletic Club,ATH,mls,La Liga
Sevilla,Sevilla,Sevilla,SEV,mls,La Liga
Villareal,Villareal,Villareal,VIL,mls,La Liga
Real Sociedad,Real Sociedad,Real Sociedad,RSO,mls,La Liga
Valencia CF,Valencia CF,Valencia,VAL,mls,La Liga
Celta de Vigo,Celta de Vigo,Celta,CEL,mls,La Liga
Levante,Levante,Levante,LEV,mls,La Liga
Málaga,Málaga,Málaga,MAG,mls,La Liga
Rayo Vallecano,Rayo Vallecano,Rayo Vallecano,RAY,mls,La Liga
Getafe,Getafe,Getafe,GET,mls,La Liga
Espanyol,Espanyol,Espanyol,ESP,mls,La Liga
Granada CF,Granada CF,Granada,GRA,mls,La Liga
Elche,Elche,Elche,ELC,mls,La Liga
Almería,Almería,Almería,ALM,mls,La Liga
Osasuna,Osasuna,Osasuna,OSA,mls,La Liga
Real Valladolid,Real Valladolid,Real Valladolid,VIL,mls,La Liga
Real Betis,Real Betis,Real Betis,BET,mls,La Liga
AC Milan,AC Milan,AC Milan,MIL,mls,Serie A
Atalanta,Atalanta,Atalanta,ATA,mls,Serie A
Cagliari,Cagliari,Cagliari,CAG,mls,Serie A
Cesena,Cesena,Cesena,,mls,Serie A
Chievo Verona,Chievo Verona,Chievo Verona,CHV,mls,Serie A
Empoli,Empoli,Empoli,,mls,Serie A
Fiorentina,Fiorentina,Fiorentina,FIO,mls,Serie A
Genoa,Genoa,Genoa,GEN,mls,Serie A
Internazionale,Internazionale,Internazionale,INT,mls,Serie A
Juventus,Juventus,Juventus,JUV,mls,Serie A
Lazio,Lazio,Lazio,LAZ,mls,Serie A
Napoli,Napoli,Napoli,NAP,mls,Serie A
Palermo,Palermo,Palermo,,mls,Serie A
Parma,Parma,Parma,PMA,mls,Serie A
AS Roma,AS Roma,AS Roma,ROM,mls,Serie A
Sampdoria,Sampdoria,Sampdoria,SAM,mls,Serie A
Sassuolo,Sassuolo,Sassuolo,SAS,mls,Serie A
Torino,Torino,Torino,TOR,mls,Serie A
Udinese,Udinese,Udinese,UDN,mls,Serie A
Hellas Verona,Hellas Verona,Hellas Verona,VNA,mls,Serie A
América,América,América,AME,mls,Liga MX
Atlas,Atlas,Atlas,ATS,mls,Liga MX
Chiapas,Chiapas,Chiapas,CHP,mls,Liga MX
Cruz Azul,Cruz Azul,Cruz Azul,C A,mls,Liga MX
Guadalajara,Guadalajara,Guadalajara,GUA,mls,Liga MX
León,León,León,LEO,mls,Liga MX
Monterrey,Monterrey,Monterrey,MON,mls,Liga MX
Morelia,Morelia,Morelia,MOR,mls,Liga MX
Pachuca,Pachuca,Pachuca,PAC,mls,Liga MX
Puebla,Puebla,Puebla,PUE,mls,Liga MX
Pumas UNAM,Pumas UNAM,Pumas,UNM,mls,Liga MX
Querétaro,Querétaro,Querétaro,QUE,mls,Liga MX
Santos Laguna,Santos Laguna,Santos Laguna,SAN,mls,Liga MX
Tigres UANL,Tigres UANL,Tigres,TIG,mls,Liga MX
Tijuana,Tijuana,Tijuana,TIJ,mls,Liga MX
Toluca,Toluca,Toluca,TOL,mls,Liga MX
Club Leones Negros de la Universidad de Guadalhara,Club Leones Negros de la Universidad de Guadalhara,Universidad de Guadalajara,UGD,mls,Liga MX
AC Ajaccio,AC Ajaccio,AC Ajaccio,,,Ligue 1
AS Monaco,AS Monaco,AS Monaco,,,Ligue 1
 AS Saint-Étienne, AS Saint-Étienne, AS Saint-Étienne,,,Ligue 1
EA Guingamp,EA Guingamp,EA Guingamp,,,Ligue 1
Evian TG FC,Evian TG FC,Evian TG FC,,,Ligue 1
